enso_index,action_WWV,action_NPMM,action_SPMM,action_IOB,action_IOD,action_SIOD,action_TNA,action_ATL3,action_SASD,state_Nino34,state_WWV,state_NPMM,state_SPMM,state_IOB,state_IOD,state_SIOD,state_TNA,state_ATL3,state_SASD
1.5030302,1.0,1.0,1.0,0.7681482,1.0,-1.0,-1.0,-1.0,1.0,1.5030302,-6.3717227,1.3448037,0.66933876,0.23736764,0.5138934,-0.006126338,-0.47323367,-0.59820473,-0.09186943
1.5840697,1.0,1.0,1.0,0.5623125,1.0,-1.0,-1.0,-1.0,1.0,1.5840697,-6.3316207,1.3461609,0.7480577,0.24266635,0.51900244,0.28097272,-0.44927105,-0.5996519,-0.47668245
1.680784,1.0,1.0,1.0,0.32934892,1.0,-1.0,-1.0,-1.0,1.0,1.680784,-6.683552,1.3461609,0.751453,0.22540836,0.35976404,0.40523162,-0.47250006,-0.5422985,-1.0551964
1.5515294,0.86049837,0.68662596,1.0,1.0,1.0,-1.0,-0.310209,-1.0,0.61256427,1.5515294,-9.755757,1.2891165,0.48909086,0.18696177,0.057314906,0.10238363,-0.5415054,-0.42144692,-1.4807032
1.4246477,0.98069733,1.0,1.0,0.75834525,1.0,-1.0,-0.729616,-1.0,1.0,1.4246477,-7.7877603,1.2841079,0.45242104,0.16487654,-0.07546883,0.21715933,-0.4999662,-0.40278524,-1.3697321
1.325091,0.37237424,-1.0,1.0,1.0,1.0,-1.0,0.34818694,0.30742052,-0.18911669,1.325091,-11.548545,1.3252965,0.28848946,0.17035474,-0.11140486,0.16820991,-0.45561892,-0.46930054,-1.196623
1.0549672,0.011356518,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.5320876,1.0549672,-13.364539,1.1812159,0.22485869,0.16709895,-0.13944954,-0.022605292,-0.34369105,-0.47416392,-0.761155
0.7114203,-0.13530375,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.647508,0.7114203,-14.573198,0.9852797,0.30945805,0.24127984,0.11156431,-0.007348153,-0.23068543,-0.40148455,-0.8270638
0.4965954,0.23606448,-1.0,1.0,1.0,1.0,-1.0,0.281122,0.07234749,-0.36742356,0.4965954,-10.106086,0.7798089,0.41204646,0.23810193,0.3267653,-0.17255531,-0.18373273,-0.5266382,-0.7827169
0.38483614,-0.017236784,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.6238731,0.38483614,-13.292012,0.7032063,0.5389915,0.26146412,0.50587624,-0.23910527,-0.16772662,-0.33395606,-0.84790146
0.19360319,-0.102396086,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.7710064,0.19360319,-13.4431305,0.6002104,0.6520475,0.33948556,0.8952575,-0.05827039,-0.16199976,-0.115928136,-0.7544046
0.07753936,-0.2527274,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.8976916,0.07753936,-16.663786,0.5749789,0.6081661,0.26240394,0.9318584,-0.000672694,-0.12502562,-0.1367599,-0.62444323
0.11731568,-0.13851525,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.8583897,0.11731568,-16.055773,0.50989306,0.79713887,0.21061696,1.003098,-0.26963663,-0.034727406,-0.1713167,-0.8845893
0.089122094,0.00012032688,-1.0,1.0,1.0,1.0,-1.0,0.83520323,0.4358209,-0.72950494,0.089122094,-13.381721,0.37007686,0.8742845,0.2096146,0.8730194,-0.38090673,0.01104504,-0.006802168,-1.0686127
0.040790655,0.10764168,-1.0,1.0,1.0,1.0,-1.0,0.49338955,-0.34540883,-0.64880264,0.040790655,-11.9124775,0.13853543,0.8479324,0.19171812,0.7063504,-0.4961314,-0.09334481,0.070721805,-0.9404451
0.012765488,-0.15171815,-1.0,1.0,1.0,1.0,-1.0,1.0,0.96372986,-0.76016533,0.012765488,-10.757572,0.08154473,0.8287876,0.29416874,0.6359496,-0.5108625,-0.07773549,0.14259268,-0.9051722
0.056521606,-0.19516475,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.7455946,0.056521606,-11.677884,-0.017310131,0.7692457,0.31070167,0.43896532,-0.53849334,0.017822815,0.2267922,-0.994189
